the: то
tanguy: танги
antonym: антоним
mas'ud: масуд
borate: Борат
nanoseconds: наносекунд
overlink: оверлинк
mcsweeney's: максвини
cal's: Кэл
cervi: черви
bhattacharjee: бхаттачарджи
samael: самаэль
hoseyn: хоссейн
birtwistle: бертуисла
girlz: спортивные
schaaf: шааф
mcmillin: макмиллин
d'etudes: исследований
herpetological: герпетологические
senora: сеньора
ipf: мгл
prf: повторения
vef: ВЭФ
journeymen: подмастерьев
waveland: уэйвленд
gondry: гондри
misspelt: орфографическими ошибками
ovalis: овального окна
kongs: конги
burnett's: бернетт
kairat: Кайрат
laeta: лаэта
bothell: ботелле
apni: Арни
marah: мерре
brul: бруль
juts: выступы
borchardt: борхардт
lege: леге
majd: мадж
moef: мэф
nabu: Набу
nyro: но
parl: парл
redi: реди
lhomme: ломма
neena: Нина
goodchild: гудчайлд
oirat: ойрат
fontaines: фонтэн
oulad: улад
medium-pace: средний темп
fashioning: фасонируя
espirito: эспириту
qassim: касим
risch: риш
actresses-related: актрис, связанные с
grazulis: гражулис
lonoke: лонок
advertising-related: рекламные
dietetics: диетология
broadcasted: транслировали
quechua-spanish: кечуа-испанский
venis: венис
nandita: нандита
stretchers: носилки
bradbury's: Брэдбери
metahuman: метачеловек
backstretch: бэкстретч
incoherence: бессвязность
elearning: обучение
shipper: грузоотправитель
zabka: забка
falsifies: фальсифицирует
pawling: паулинг
novelli: новелли
wigley: уигли
eightieth: восьмидесятая
iwanami: иванами
kabardino-balkaria: Кабардино-Балкария
mendieta: мендьета
bhatta: бхатта
prophetess: пророчица
pelikan: Пеликан
mandolins: мандолины
yellow-breasted: желтогрудого
aghast: ужас
uecker: юккер
incumbencies: должностей сотрудников
nanostructures: наноструктур
onitsha: онича
ceaseless: непрерывный
arkan: аркан
richie's: Ричи
amorosi: аморози
overlies: перекрывает
universel: универсэл
mcgibbon: Роберт Слоан Даниэль
collinwood: коллинвуд
seymour's: Сеймур
higher-end: высокого класса
elata: элата
skippered: шкипером
us-china: американо-китайских
evola: эвола
garhi: гархи
as-yet: пока
firstname: имя
misquote: неправильно процитировал
bik: БИК
cmv: цитомегаловирус
orl: орл
wak: уак
marinko: маринко
single-tier: одноярусной
then-husband: потом-муж
kamat: камат
puddings: пудинги
krait: крайт
legis: легис
leidy: лейд
pullback: откат
arri: арри
bhau: бхау
bryk: брык
emet: эмет
fuso: фусо
hros: СПЧ
noth: нич
ojha: ойха
plex: сплетение
rimi: рими
tnis: чем на английском
coin-operated: Монетная
assertation: тезиса о том
torquemada: торквемада
space-filling: заполнения пространства
oland: оланд
mojica: мохика
artcile: статья
fenster: фенстер
inheritors: наследники
keller's: Келлер
mutharika: мутарика
gullit: гуллит
albigensian: альбигойский
world-view: мировоззрение
tucano: тукану
tonny: тонни
longhi: лонги
kjartan: кьяртан
zhenjiang: чжэньцзян
vache: ваче
underused: недостаточно
peeter: пеэтер
pursuer: преследователя
catch-up: догнать
excitations: возбуждений
connexions: связи
capstan: кабестан
dopant: легирующей примеси
rutaceae: рутовых
indigestion: несварение
nahariya: нагария
megahertz: мегагерц
hon'ble: хон'
xochimilco: сочимилько
marquard: маркварде
pensive: задумчивый
tharsis: тарсис
chumphon: чумпхон
mishmash: мешанина
tenterden: тентердене
tackett: такетт
hardboiled: вкрутую
anthere: все
miercurea: меркуря
gerona: жерона
bakit: бакыт
balak: валак
privat: частных
transporte: транспорте
highveld: хайвелд
fornebu: форнебу
cajal: кахаля
aldama: альдама
conon: конон
croll: кролл
nigrum: шдгит
serenades: серенады
fourth-quarter: в четвертом квартале
old-age: старости
duals: дуалов
kokusai: кокусай
elora: элора
sables: соболей
antike: древней
mitropa: митропа
wiccans: виккане
speleological: спелеологические
encrypting: шифрование
gelli: гелли
bugles: стеклярус
grodd: гродд
groat: грош
picketed: пикетировали
serail: сераль
eyp: емп
gtw: максимальный общий вес автопоезда
snf: ОЯТ
vcl: жел
amitabha: амитабха
lifan: Лифан
aadi: аади
mahim: махим
breg: брег
lorn: лорн
tego: тего
muhammadu: Мухаммаду
momsen: момсен
microbrewery: минипивоварни
rapeseed: рапса
witkowski: витковский
trebek: требек
raila: раиля
kitzmiller: китцмиллер
eludes: ускользает
see's: престола
sewed: шила
figure's: фигуры
loew's: Лева
exterminating: истребляли
commanding-in-chief: командир-в-главный
habitus: габитус
undertakers: гробовщики
parise: паризе
incapacitating: строя
nantong: наньтун
stavka: ставка
non-contentious: неконфликтный
impounds: конфискует
oratorical: ораторское
rossen: россен
rowles: роулс
peewee: пиви
hamsun: гамсун
obliging: услужливая
wracked: разрушают
horse-racing: скачки
martigny: мартиньи
adlard: адларда
laterza: латерца
internalization: интернализация
neubauten: баргельд
phaedrus: федр
thanasis: танасис
kirchheim: кирхгайм
pantographs: пантографы
vice-chancellors: вице-канцлеры
sarovar: саровар
quapaw: племени куапо
hussaini: хусаини
anderssen: андерссен
daizong: дайцзун
cashmore: кашмор
iteratively: многократно
preceeding: выше
balle: Баль
lower-order: низшего порядка
ghazali: газали
archivio: архив
tengen: тенген
amsterdam's: Амстердам
shoveler: широконоска
doldrums: депрессии
mello-leitao: Мелло-лейтао
underdevelopment: недоразвитость
arnauld: арнаулд
btr: БТР
hks: хкс
lcp: КСУ
ovo: ОВО
yoi: йой
tambora: тамбора
noumea: нумеа
rahimi: рахими
kaval: кавал
o'donnell's: О'Доннелл
lamin: ламин
leroi: Леруа
loras: лорас
madog: мадога
av-b: АВ-б
baul: баул
boso: босо
hija: хиджа
kote: котэ
nide: нидэ
easterners: восточники
tato: тато
voie: вуа
zabaykalsky: Забайкальский
abbasabad: аббасабад
monnow: монноу
bianca's: Бьянка
rivulet: речушка
frigatebird: фрегат-ариеля
baselines: базовые
spearheads: возглавляет
blackcap: черноголовая Славка
sezer: сезер
lingala: английский
tagaytay: тагайтай
gloriosa: глориоза
kilbourne: килбурн
gouging: строжка
x-pac: х-пак
pd-old: ПД-старый
interjections: междометия
haditha: хадите
banged: грохнули
barbee: Барби
neutralise: нейтрализовать
marie-anne: Мари-АНН
vergeer: вергеер
dolman: доломать
radioshack: продавцы
dorner: дорнер
behari: бихари
shkodra: шкодер
bioluminescent: биолюминесцентный
piciformes: дятлообразных
abby's: Эбби
transilvania: трансильвания
fl-class: фл-класс
jupiler: Бельгии
lee-enfield: ли-энфилд
alums: квасцов
andar: андар
ofcourse: конечно
alaina: алэйна
rexford: рексфорд
trans-tasman: транс-тасман
miguel's: Мигель
birches: березки
shirtless: рубашки
exner: экснер
greek-american: греко-американский
boliviana: боливиана
dornoch: дорноч
stroked: погладил
multiplications: умножение
bunche: банча
gyroscopes: гироскопы
elagabalus: элагабал
haken: хакен
coarsely: грубо
infix: инфиксные
gca: вка
svc: впв
telegraphed: телеграфировал
railton: рейлтона
jiggs: джига
d'armes: д'АРМ
marsala: марсала
timbered: деревянные
klavier: сайт содержит записи
romeo's: Ромео
barlaam: Варлаам
nowshera: наушере
clydach: городе клайдч
d'en: ден
eaff: чемпионат
epfl: епфл
knez: кнез
jesmond: джесмонд
reck: рекк
rocs: рокс
suno: суне
effusive: эффузивные
afro-brazilian: афро-бразильский
draper's: дрейпер
butlins: батлинз
crivelli: кривелли
swaffham: сваффхеме
blessington: блессингтон
kusturica: Кустурица
vikernes: викернес
loades: загружает
energi: энерги
integrations: интеграция
munthe: мунте
anti-democratic: анти-демократической
kazerun: казеруна
choctaws: чокто
jodorowsky: ходоровский
xamax: защитник
canaris: канарис
wegman: вегман
norvell: норвелл
racquets: ракетки
stanger: стангер
staszek: сташек
kitchener's: китченер
romantica: романтика
corvair: корвайр
cosford: косфорд
motown's: мотаун это
cecotto: чекотто
rectifiers: выпрямители
yaroslava: Ярослава
entrusting: доверив
snatcher: похититель
adjara: аджария
rochester's: Рочестера
mecklenburgische: путешествующих
sponsor's: спонсора
grantland: грантланд
canaletto: каналетто
tessellations: тесселяции
vasodilation: вазодилатация
hyperboloid: гиперболоид
madhur: мадхур
proceso: организации
silverio: сильверио
telomeres: теломеры
uintah: юнта
oligonucleotides: олигонуклеотиды
almira: альмира
demar: демар
deven: девен
respighi: респиги
off-camera: вне камеры
meydan: мейдан
skewing: уклонять
fabry: фабри
lafont: лафон
biddeford: биддефорд
no-hit: нет
ponderous: тяжелый
hilty: хилти
bfg: БФГ
cbb: нбр
omx: оэмэкс
jango: Джанго
six-game: шесть игр
tishrei: тишрей
upturn: подъем
marwick: марвик
gojong: коджон
re-founded: создать заново
althorp: алторп
lahar: лахар
laime: лайме
million-selling: миллион-продажа
worn-out: изношенные
aedt: диапазон
apne: апне
mapam: мапам
arve: арвэ
atri: атри
dere: дере
danity: опираясь
fann: фанн
fani: фани
garm: гарм
mavs: мавс
sepa: сепа
sini: шини
suhl: зуля
uche: уче
weel: водоворот
zakk: закк
dombrowski: Домбровский
nardo: нардо
burling: берлинга
kaziranga: казиранга
busways: шинопроводы
microcode: микрокод
gravitate: тяготею
desilu: десиле
plastering: штукатурных работ
reyne: рэйнэ
lakenheath: лейкенхите
frears: фрирз
fullscreen: полноэкранный
frogman: водолаз
tichy: тичи
titel: титель
godfrey's: Годфри
ljubavi: известном своими природными минеральными источниками
parigi: Париж
parsis: парси
walpole's: уолпола
outflanked: обошел
alpharetta: альфаретта
shockers: шокеры
zubair: зубайр
streamflow: стока
tamarisk: тамариск
immobilization: иммобилизация
duchesses: герцогинь
inscrutable: неисповедимы
lukacs: лукач
latinised: латинизирован
berita: берита
benedicto: бенедикто
wastelands: пустоши
treecreepers: пищух
kristo: Кристо
saxatilis: зашептались
profanities: ругательства
yujiro: юдзиро
churned: взболтали
g-dragon: г-дракон
lashkar: лашкар
downgrades: понижение
overreacting: остро реагируешь
cogito: когито
donegall: донегал
ilorin: илорин
millsap: миллсэп
bltter: злейший стоит
the-g-unit-boss: в-г-блок-босс
bellini's: Беллини
guarnieri: гварньери
douglas-hamilton: Дуглас-Гамильтон
gluten-free: клейковины
driveshaft: Карданный вал
abaya: абайя
mahima: махима
alick: Алик
bruhn: Брюн
hlinka: Глинка
streicher: штрайхер
doornbos: доорнбос
peddlers: разносчиков
definitly: определенно
almohads: альмохады
uncoordinated: нескоординированные
jacquard: жаккард
vastness: обширность
glacis: гласис
high-income: высоким уровнем дохода
howat: ховаты
blansko: бланско
bii: бий
lvl: лвл
ofr: офр
zem: зем
bienvenido: бьенвенидо
callimachus: каллимах
tolhurst: музыкантом
wickramasinghe: викрамасингх
tsarina: царица
railtrack: рельсового
lapid: лапид
lillo: лилло
plasencia: пласенсия
pesa: пеза
peya: пея
raag: рааг
reek: вонь
tira: тира
mussina: Мусина
zend: зенд
revelers: гуляки
friedan: фридан
wieliczka: величка
trooping: слетятся
mogami: могами
mediaset: медиасет
split-screen: сплит-экран
chiang's: Чианг
eircom: реирсом
appleton's: эпплтон
'red': 'красный'
pol-e: польск-е
gudang: гуданг
englert: энглерт
filigree: филигрань
rossano: россано
spens: Спенс
rizwan: ризван
rougeau: ружо
spiros: Спиро
counter-vandalism: счетчик-вандализм
vysok: высок
sprockets: звездочки
culshaw: калшо
chinle: улавливались
zvonko: звонко
pettus: петтуса
imprenta: импрента
now-famous: теперь-знаменитый
infusing: вливая
minimoog: компания выпустила
ellerman: здесь
labyrinthine: лабиринт
legalism: законничество
cerdanya: серданья
flagrantly: грубо
rudnik: рудник
cycling's: Велоспорт
selfridges: селфридж
dimarco: димарко
duthie: дьюти
sino-vietnamese: китайско-вьетнамский
closed-loop: замкнутый цикл
churchtown: черчтаун
aamer: аамер
arche: арш
bunkhouse: ночлежка
olimpo: олимпо
roppongi: роппонги
soothsayer: прорицатель
cerna: черна
melcombe: мелком
castleblayney: каслблейни
iseult: изольде
boonstra: бунстра
spiracles: дыхальца
evora: эвора
outerbridge: аутербридж
lachin: лачин
two-speed: две скорости
galop: галоп
scilla: сцилла
guqin: гуцинь
lovebird: неразлучник
andamanese: андаманцы
miyata: мията
bov: бов
frd: фрд
uncirculated: анциркулейтед
schmeling: шмелинг
kadesh: кадес
lemar: лемар
handrails: поручни
feedbacks: отзывы
acls: списки
arni: Арни
damask: штоф
byam: байам
shillington: городе шиллингтон
memu: сзм
yivo: йиво
pinecrest: пайнкрест
tramping: бродяжничаешь
otten: оттен
bonnyrigg: бонниригг
fozzie: фоззи
sufficent: достаточность
jamiat: джамиат
horton's: Хортон
labyrinths: лабиринты
strzelecki: стшелецкий
carver's: карвера
sohbet: сохбет
bladders: пузыри
underutilized: малоиспользуемые
tavis: тавис
anti-matter: анти-материя
brightened: светлели
watton: уоттон
schinkel: шинкель
lamington: ламингтон
whakatane: вакатане
seleucids: селевкиды
lolland: лолланн
hamirpur: хамирпуре
self-absorbed: эгоцентричный
wen's: Вэнь Цзябао
hellions: гелионы
cholula: чолула
chumbawamba: портреты
weekend's: выходные
single-sided: односторонняя
tangiers: танжер
josaphat: иосафат
kosaka: косака
rabotniki: работники
chamfered: скошенные
lorenza: лоренза
mckay's: Маккей
inequity: неравенство
free-spirited: свободных духом
gellius: геллой
russie: росії
deporting: депортировать
candlesticks: подсвечники
anti-poverty: борьбе с нищетой
mothering: материнская
bullfinch: снегирь
frontlines: фронта
illusive: призрачные
qubits: кубиты
overbridge: путепровод
cryptids: криптиды
portrush: портраш
telomere: теломер
harriot: харриот
revelry: попойка
foragers: фуражиры
multi-state: мульти-государство
dishpan: таз
hatillo: атильо
cerca: серка
eighteen-year-old: восемнадцать-летний
determiners: определители
timaeus: тимея
bravos: бравос
doerr: дерр
drood: друд
criminalize: криминализовать
radcliff: рэдклиф
spielman: спилман
hawtrey: хотри
archosaurs: архозавры
striate: складчатых
ciccone: чикконе
gauci: гаучи
bunyip: буньип
cardigans: кардиганы
niggers: ниггеры
migdal: мигдал
heartburn: изжога
saturate: насытить
pyunik: пюник
talukas: ветер
arz: арз
drt: дрт
lpi: ФИАН
ork: орк
javid: джавид
nextgen: некстджен
seperated: разделяется
kamnik: камник
kanepi: канепи
hurricane's: ураган
water-tube: водотрубный
baux: бо
brts: брц
cd-i: кд-я
dray: ломовые
inde: инде
khok: Хок
khoy: Хой
loza: Лоза
weiskopf: вайскопф
razn: разн
rega: рега
syon: Сион
musca: муха
speared: проткнули
okabe: окаба
cosmologist: космолог
u-kiss: п-поцелуй
eugenic: евгенические
armalite: армалайт
reacher: Ричер
oakhurst: окхерст
trudel: трудель
crumpled: мятый
festivali: фестивали
roney: Рони
willowdale: уиллоудейл
schlo: щло
melnick: Мельник
smite: порази
short-toed: коротким носком
swinford: суинфорд
gavrilov: Гаврилов
burgtheater: бургтеатр
governo: говерно
solidaridad: солидаридад
wiens: Винс
re-signing: повторное подписание
red-faced: краснолицый
chinon: шинон
parterre: партерный
jolanta: Иоланта
pertti: пертти
mineralized: минерализованная
bottom-left: Нижний левый
wasserstein: вассерштейн
bronner: броннер
macisaac: видео клипы смотреть онлайн
scrooge's: скруджа
modulations: переливы
discusion: обсуждение
flockhart: флокхарт
abeokuta: абеокута
langerhans: лангерганса
ranganathan: ранганатаном
cityscapes: городские пейзажи
offenbach's: оффенбаха
hearns: хирнс
classica: "классика"
ribbing: ребристость
ichthyologist: ихтиолог
arachne: арахна
camelford: камелфорде
gaster: гастеры
tabrizi: табризи
reticle: сетка
commissaire: комиссар
majora: губ
baber: бабер
volney: вольней
cycad: саговник
faultless: безупречная
handiwork: рукоделие
dec's: ОИК
stout's: Стаут
sub-label: суб-Лейбл
bryans: брянс
fearn: феарн
labdia: лабдиа
stricto: в строгом
howse: хоус
unrepresentative: нерепрезентативная
post-apartheid: пост-апартеида
ingot: слиток
centipedes: сороконожки
frp: стеклопластик
jns: фаю
lna: усилитель
sdu: сду
mortenson: мортенсон
vpc: ВКК
charlot: шарло
raheny: от раганы
benvenuti: бенвенути
klien: клиен
tangles: клубки
dowsing: биолокация
arth: арт
marot: маро
cais: Таис
clee: кли
cred: доверие
karu: кару
kodo: кодо
masl: мнум
muth: мут
amputations: ампутации
seno: сэно
sqrt: корень
stas: Стас
thys: ТиС
flukes: трематоды
brattle: брэттл
lijiang: лицзян
whodunit: детективный роман
kunoichi: куноити
pecci: печчи
immingham: иммингем
panamerican: панамериканская
rding: по наблюдениям
sandu: санду
rivlin: ривлин
suria: суриа
roc-a-fella: РПЦ-а-фелла
talpa: талпа
scrubland: лесной район
temescal: земессарг
waldrop: уолдроп
cermak: чермак
kelemen: келемен
bailie: Бейли
glendower: глендауэром
stavro: ставро
tyrian: тирским
abdellah: абделла
peadar: пеадар
diffusa: диффуса
lacustrine: озерные
agrobacterium: агробактерия
lactantius: лактанций
gelling: застудневание
wattled: плетеные
virginias: Вирджинии
unacknowledged: непризнанные
columb: Колумб
full-day: полный день
ellis's: Эллиса
podolski: Подольски
carothers: царотхерс
liebling: либлингов
directness: прямолинейность
creasy: криси
standards-based: на основе стандартов
re-aired: повторялись
innova: иннова
neapolis: неаполис
grimstad: гримстад
diplodocus: диплодок
busselton: басселтоне
bono's: Боно
marsan: марсан
hermeneutic: герменевтический
bc-ad: г. до н. э.-
four-engine: четырехмоторный
broomstick: метле
hastert: хастерт
canet: Кане
atresia: атрезия
tocharian: тохарский
amazes: поражает
escapism: эскапизм
ellin: Эллин
earmarks: признаки
fazer: "фацер"
unbundling: разгруппирование
onehunga: онхунга
grand-am: Гранд-АМ
seletar: селеби-пхикве
longstreet's: лонгстрит это
rowland's: Роланда
portcullis: решетку
ionel: ионел
foc: вок
ncf: нгф
tup: тюп
udt: удт
zho: жо
chakravarty: чакраварти
kanti: канти
kolev: колев
atilla: атилла
katchi: катчи
fukuhara: фукухара
caye: кайе
ebon: черный
enga: энга
gago: гаго
huot: хаотов
keli: кели
timecode: таймкод
rexx: Рекс
yamanote: яманотэ
sowa: сова
wiel: вил
redeveloping: перестройки
klement: Клемент
jong-kook: Йонг-Кук
mozarts: моцарты
palus: палусом
donatella: донателла
qibla: кибла
underestimating: недооценка
jangal: джангала
olivier's: Оливье
riesz: рисса
candlemas: Сретение
cavaco: каваку
ibbetson: ибетсон
blackall: блэкол
calligraphers: каллиграфы
snags: коряги
sopor: сопора
undergarments: нижнее белье
larchmont: ларчмонте
tippy: неустойчивый
parishioner: прихожанка
fallbrook: фоллбруке
lovano: ловано
tubbercurry: тоберкарри
immonen: иммонен
cawnpore: канпуре
vales: долины
conan's: Конан
miscellanies: сборников
mallikarjuna: листья и тонкие
lucifer's: Люцифера
oberman: оберман
yuber: Юбер
pequea: следующих
eszter: Эстер
mazumdar: мазумдар
doogie: дуги
tortugas: тортугас
might've: возможно
ratzeburg: ратцебург
hantavirus: хантавирус
vermes: вермеса
huizhou: хуэйчжоу
sansone: сансоне
bitlis: битлис
r-type: р-Тип
dillwyn: диллвин-стрит
atlanteans: атлантов
non-cooperation: отказ от сотрудничества
falster: фальстер
crozet: крозе
mahdist: махдистов
ill-will: злая воля
welcher: жулик
abaza: Абаза
tragicomedy: трагикомедия
malfoy: Малфой
fertilize: удобрять
bhava: бхава
blest: благословил
codenames: кодовые имена
cotentin: котантен
crary: крария
unanswerable: неопровержимый
alsina: алсина
teeter: качели
dilys: дилис
dayseptember: месяцмай
chevallier: шевалье
entombment: погребение
mummers: ряженые
granholm: гранем
hosei: хосэй
christological: христологические
constructible: конструируемым
glu: глю
ifv: БМП
sfp: сфп
vix: викс
heartwood: сердцевина
jilly: Джилли
outwit: обхитрить
kilnamanagh: арклоу
nonsectarian: несектарный
montabaur: монтабаур
rapaport: рапапорт
dekh: дех
ioof: иооф
lobb: Мб
phai: пхай
qais: кайс
saez: саес
sett: брусчатка
suso: сусо
waas: ваас
wath: уот
assertiveness: напористость
zaku: заку
disfigurement: обезображивание
well-studied: хорошо учился
ngo's: НПО
castlegar: каслгар
watchmaking: часовой
recentchanges: свежих правок
puedo: пуэдо
single-celled: одноклеточные
rheine: райне
rango: Ранго
afroasiatic: афразийские
pandits: пандиты
shays: фаэтонах
burgomaster: бургомистр
tareq: тарек
tullis: туллис
radiologic: рентгенологические
kalidasa: калидаса
festina: фестина
andrada: андрада
zimmerman's: циммермана
novelizations: новеллизации
signposts: указатели
illustr: иллю
lopburi: лопбури
victrix: месте
swathe: бинтовать
orquestra: оркестр
delafield: делафилд
thyagaraja: тьягараджа
venise: вениз
slumping: оползание
sukanya: суканья
rahman's: Рахмана
hermaphrodites: гермафродиты
seydlitz: зейдлиц
myasthenia: миастения
endomorphism: эндоморфизм
waller's: уоллер
sting's: Стинга
blasio: блазио
unceremoniously: бесцеремонно
wolman: вольман
tanegashima: танегасима
damselflies: стрекоз
immelmann: настроек
herrschaft: херршафт
post-roman: пост-роман
maizuru: майдзуру
prespa: преспа
bitar: битар
burka: бурка
cooma: кума
petteri: петтери
akutagawa: акутагава
heartlands: сердце
hofman: хофман
erkan: эркан
adivasi: адиваси
dactylorhiza: пальчатокоренник Балтийский
bucanero: буканеро
heritages: наследия
jakobsson: якобссон
unclosed: незамкнутые
everett's: Эверетт
monotremes: однопроходные
hunky: работяга
uomini: известных
afv: бтт
dsw: фонд
fah: фа
fns: ФНС
imu: иму
borelli: борелли
praetorius: преториуса
outbid: перекупить
ramani: рамани
khera: кхера
managements: управления
hunnic: гуннского
cathartic: катарсис
pernille: пернилла
linna: линна
upfield: но
crenellated: зубчатые
luana: луана
moycullen: Саттон
beel: веелее
bura: бура
eria: эриа
ralphie: ральфи
mnla: ндоа
rf-c: РФ-с
taye: тайе
toch: тох
wari: Вари
grasps: схватывает
felines: кошки
vice-governor: вице-губернатор
theosophist: теософ
yellowjackets: вышло с осами
counter-arguments: контраргументы
westerlund: вестерлунд
tycoons: воротилы
wiley-interscience: вайли-межнаучных
shina: шина
kidron: кедрон
triple-double: трипл-дабл
tolle: толле
spidey: спайди
'let's: давайте
hohenlohe-langenburg: гогенлоэ-лангенбург
adrianus: адрианус
bastar: бастар
constanze: Констанца
venusian: венерианские
unneccessary: ненужно
selenide: селенид
nausica: навсикаю
earthlings: земляне
lightbot: вместе
achene: семянка
estienne: Этьен
mechanicals: механиков
jowell: джоуэлл
pre-approved: предварительно утвержден
coello: Коэльо
arguello: аргуэлло
plessy: плессы
herriman: херимана
vihear: вихеар
millage: миледж
blocky: блочный
landholder: владелец земельного участка
fallible: ошибочны
ratisbon: ратисбона
brumfield: брумфилд
athen: Александр
premised: основывается
forum-shopping: форум-шоппинг
boreholes: шпуры
corax: коракс
supportable: терпимое
bollard: кнехт
passerina: пассерина
tanneries: кожевенные заводы
septiembre: сентября
workaholic: трудяги
sangar: сангар
ezine: рассылке
lairds: лэрдов
terrazzo: терраццо
nine-member: девять членов
regenerates: регенерирует
socialistic: социалистический
hrodna: Гродно
ihsan: ихсан
protein-protein: белка-белка
ffb: ффб
tpo: ТПО
uys: уйс
vnd: донгов
drunkenly: пьяно
kitto: китто
kogen: коген
dowland: доуленда
wordsmith: невидимка
locum: местоблюститель
dabble: барахтаться
patron's: покровителя
ossetians: осетины
pallidum: сегмента бледного шара
doga: дога
meiko: мейко
mesic: мезонного
gars: гарс
kozo: козо
lait: лаит
ohta: Охта
olha: Ольга
qali: Кали
rasp: рашпиль
vilm: вилм
lianne: лиэнн
france-related: Франция-обзоры
polizia: полиция
marcotte: маркотт
convoked: созвал
pompton: помптон
pisin: писин
folies: Фоли
qormi: корми
accordions: гармошки
decidable: разрешим
sagen: саген
shita: шитал
tansy: пижма
one-sixth: одна шестая
diaconate: диаконство
spamalot: "спамалот"
logros: логрос
peremptory: безапелляционный
hizbullah: "Хизбалла"
baller: баллер
bashed: крошил
normals: нормали
despres: депре
dockside: причал
pushkin's: Пушкина
eldoret: элдорет
youssou: видеовопрос
midgard: Мидгард
philadelphia-based: Филадельфии
paratroop: десантников
roxburghe: роксбург
lukens: обладает
tenzing: тенцинг
solanas: соланас
leach's: лич
disobedient: непослушные
newspeak: новояз
wetherell: уэзерелл
bilodeau: билодо
hersch: херш
kuyper: кайпер
boubacar: бубакар
intercommunal: межобщинные
insignias: лычку
plowden: плоуден
west-northwestward: в северо-западном направлении
prioritization: приоритизация
horlick: хорлик
slessor: слессор
harlock: харлок
gernot: гернот
harveys: харвис
flammability: воспламеняемость
on-set: на съемочной площадке
court-ordered: судом
softshell: софтшелл
mcnichol: макникол
burda: Бурда
burne: Берн
digesting: переваривает
non-believers: неверующих
anglophones: англофонов
chari: шари
cloud's: облако
performa: перформа
amasis: амасиса
drumm: драмм
holleman: холлеман
counter-culture: контр-культуры
escalade: эскалада
ebisu: эбису
jazmine: йесмин
industrials: промышленности
guayama: гуаяма
eckhard: экхард
crossan: кроссан
realignments: реорганизация
deveraux: Деверо
fhl: фхл
koy: коий
tsl: тсл
vuh: вух
celestials: небожители
dusters: тряпки
bloodlust: кровожадность
bartman: бартман
zimbru: зимбру
gurdaspur: гурдаспура
aisi: Айси
spielmann: шпильман
ecma: есма
rosenberger: розенбергер
loen: лоен
namu: наму
steg: стег
susy: Сюзи
dressel: дрессела
punctures: проколы
rothschilds: ротшильды
cabbie: таксист
cachar: качар
kakamega: какамега
khenpo: кхенпо
reevaluation: переоценка
sofala: софала
perverts: извращает
tecla: текле
tekno: текно
teles: телеса
one-mile: одну милю
tremain: тремейн
mccowan: маккован
stereographic: стереографическая
foreheads: лбы
renegotiate: перезаключать
circle's: круг
streator: стритор
scholastica: схоластика
bluffing: блефует
asphyxia: асфиксия
steffy: стеффи
lindblom: линдблома
robbin: роббин
non-formal: неформальное
werfel: верфель
ranasinghe: ранасингхе
half-baked: придурью
esfahan: исфахане
shindig: вечеринка
peniel: пенуэл
shivani: шивани
eterna: этерна
bikeable: велосипедистов
dongle: ключ
bhanumathi: сейчас
innovating: инновации
haveri: хавери
yukawa: юкава
lightman: Лайтман
negombo: негомбо
holbeach: холбиче
nabors: нейборс
khalkha: халха
galvan: гальван
eulogized: восхваляете
cartersville: картерсвилле
hewitt's: хьюит
dnevnik: дневник
horne's: хорна
gajendra: гаджендра
taisha: таиша
abadi: абади
ankur: анкур
barbeque: барбекю
archi: Арчи
beqaa: бекаа
predominating: главенствующие
mediabase: медиапоэзия
budde: будьде
fawley: Фоули
therewith: при этом
syntactical: синтаксические
alesia: Алеся
cometary: кометная
dolla: бабосов
endonyms: эндонимов
clemenza: клеменца
eitel: айтель
elana: элана
horley: хорли
manga's: манга
accardo: аккардо
presaged: предвещало
sindelfingen: зиндельфинген
birthmark: родимое пятно
infin: инфин
aod: аот
dmf: дмф
efs: орпп
kye: ге
sdo: СДО
artcle: анализ возможных осложнений
serkis: Серкис
beagles: гончие
jerri: Джерри
ashour: ашур
dispossession: раскулачивание
bhaktapur: бхактапур
medians: медианы
caldwell's: Колдуэлл
multicore: многожильные
sigerson: сигерсон
livni: ливни
ampa: ампа
matto: матто
mavor: Кейт Бланшетт
cech: чех
doin: делаешь
melds: объединяет
eron: эрон
merce: мерс
esma: эсма
pterygoid: крыловидная
khet: хэт
lyla: Лайла
oana: оана
orange-yellow: оранжево-желтый
rato: рато
regi: Реджи
newtownards: ньютаунардс
sinton: синтон
brazils: Бразилии
bhadrakali: бхадракали
coffees: кофе
resveratrol: ресвератрол
reposition: репозиция
renier: Ренье
osiek: осек
re-enacted: повторно принятый
rumbold: румбольдом
poway: пауэй
delian: делосской
gunton: гантона
kushida: кушида
cahors: каор
canoga: канога
freycinet: фрейсине
collinear: коллинеарны
semi-precious: полудрагоценные
shino: шино
rollings: прокаток
somthing: что
titre: титр
tovuz: таузе
speier: спир
dimmed: потускнел
garlick: чесночным
wyndham's: уиндхем
webos: история
wenli: вэньли
vasantha: васанта
larkin's: ларкина
sunway: санвей
teaspoon: чайная ложка
vidalia: видалия
wiking: Викинг
napier's: нейпир
stockpiling: накопления
cosentino: косентино
yukimura: юкимура
kurier: курьер
k-love: к-любовь
on-the-job: на рабочем месте
lussier: люсье
hornell: хорнелле
quarta: кварта
eigenstates: состояний
